0	The	O_x	Su	O_y
1	type	O	muerte	O
1	type	O	temporada	O
1	type	O	julio	O
1	type	O	en	O
1	components	O	muerte	O
1	components	O	temporada	O
1	components	O	julio	O
1	components	O	en	O
1	film	O	muerte	O
1	film	O	temporada	O
1	film	O	julio	O
1	film	O	en	O
1	by	O	muerte	O
1	by	O	temporada	O
1	by	O	julio	O
1	by	O	en	O
1	song	O	muerte	O
1	song	O	temporada	O
1	song	O	julio	O
1	song	O	en	O
1	main	O	muerte	O
1	main	O	temporada	O
1	main	O	julio	O
1	main	O	en	O
1	examining	O	muerte	O
1	examining	O	temporada	O
1	examining	O	julio	O
1	examining	O	en	O
2	locality	O	fue	O
2	locality	O	9	O
2	locality	O	de	O
2	locality	O	la	O
2	of	O	fue	O
2	of	O	9	O
2	of	O	de	O
2	of	O	la	O
2	starred	O	fue	O
2	starred	O	9	O
2	starred	O	de	O
2	starred	O	la	O
2	was	O	fue	O
2	was	O	9	O
2	was	O	de	O
2	was	O	la	O
2	story	O	fue	O
2	story	O	9	O
2	story	O	de	O
2	story	O	la	O
2	shy	O	fue	O
2	shy	O	9	O
2	shy	O	de	O
2	shy	O	la	O
3	is	O	especialmente	O
3	is	O	fue	O
3	is	O	1942	O
3	the	O	especialmente	O
3	the	O	fue	O
3	the	O	1942	O
3	Cameron	I-PER	especialmente	O
3	Cameron	I-PER	fue	O
3	Cameron	I-PER	1942	O
3	written	O	especialmente	O
3	written	O	fue	O
3	written	O	1942	O
3	has	O	especialmente	O
3	has	O	fue	O
3	has	O	1942	O
3	adolescents	O	especialmente	O
3	adolescents	O	fue	O
3	adolescents	O	1942	O
5	.	O	en	O
5	.	O	en	O
5	.	O	su	O
5	.	O	Kansas	I-ORG
5	layer	O	en	O
5	layer	O	en	O
5	layer	O	su	O
5	layer	O	Kansas	I-ORG
5	and	O	en	O
5	and	O	en	O
5	and	O	su	O
5	and	O	Kansas	I-ORG
5	continued	O	en	O
5	continued	O	en	O
5	continued	O	su	O
5	continued	O	Kansas	I-ORG
5	university	O	en	O
5	university	O	en	O
5	university	O	su	O
5	university	O	Kansas	I-ORG
0	Common	O	La	O
0	Common	O	En	O
0	Common	O	Estudió	O
0	The	O	La	O
0	The	O	En	O
0	The	O	Estudió	O
0	Created	O	La	O
0	Created	O	En	O
0	Created	O	Estudió	O
0	The	O	La	O
0	The	O	En	O
0	The	O	Estudió	O
0	The	O	La	O
0	The	O	En	O
0	The	O	Estudió	O
0	Studies	O	La	O
0	Studies	O	En	O
0	Studies	O	Estudió	O
4	herb	O	sentida	O
4	herb	O	lanzada	O
4	herb	O	,	O
4	herb	O	de	I-ORG
4	Lusiardo	I-PER	sentida	O
4	Lusiardo	I-PER	lanzada	O
4	Lusiardo	I-PER	,	O
4	Lusiardo	I-PER	de	I-ORG
4	and	O	sentida	O
4	and	O	lanzada	O
4	and	O	,	O
4	and	O	de	I-ORG
4	by	O	sentida	O
4	by	O	lanzada	O
4	by	O	,	O
4	by	O	de	I-ORG
4	also	O	sentida	O
4	also	O	lanzada	O
4	also	O	,	O
4	also	O	de	I-ORG
4	and	O	sentida	O
4	and	O	lanzada	O
4	and	O	,	O
4	and	O	de	I-ORG
6	in	O	población	O
6	in	O	por	O
6	a	O	población	O
6	a	O	por	O
6	H.	I-PER	población	O
6	H.	I-PER	por	O
6	Buxton	I-PER	población	O
6	Buxton	I-PER	por	O
6	in	O	población	O
6	in	O	por	O
6	students	O	población	O
6	students	O	por	O
7	bogs	O	Unidos	I-LOC
7	bogs	O	después	O
7	bogs	O	fue	O
7	bogs	O	dos	O
7	19-year	O	Unidos	I-LOC
7	19-year	O	después	O
7	19-year	O	fue	O
7	19-year	O	dos	O
7	Eglee	I-PER	Unidos	I-LOC
7	Eglee	I-PER	después	O
7	Eglee	I-PER	fue	O
7	Eglee	I-PER	dos	O
7	,	O	Unidos	I-LOC
7	,	O	después	O
7	,	O	fue	O
7	,	O	dos	O
7	novel	O	Unidos	I-LOC
7	novel	O	después	O
7	novel	O	fue	O
7	novel	O	dos	O
7	found	O	Unidos	I-LOC
7	found	O	después	O
7	found	O	fue	O
7	found	O	dos	O
8	includes	O	y	O
8	includes	O	de	O
8	includes	O	enviada	O
8	includes	O	semestres	O
8	-	O	y	O
8	-	O	de	O
8	-	O	enviada	O
8	-	O	semestres	O
8	,	O	y	O
8	,	O	de	O
8	,	O	enviada	O
8	,	O	semestres	O
8	form	O	y	O
8	form	O	de	O
8	form	O	enviada	O
8	form	O	semestres	O
8	that	O	y	O
8	that	O	de	O
8	that	O	enviada	O
8	that	O	semestres	O
9	the	O	más	O
9	the	O	cuatro	O
9	the	O	a	O
9	the	O	antes	O
9	old	O	más	O
9	old	O	cuatro	O
9	old	O	a	O
9	old	O	antes	O
9	it	O	más	O
9	it	O	cuatro	O
9	it	O	a	O
9	it	O	antes	O
9	Clawson	I-PER	más	O
9	Clawson	I-PER	cuatro	O
9	Clawson	I-PER	a	O
9	Clawson	I-PER	antes	O
9	,	O	más	O
9	,	O	cuatro	O
9	,	O	a	O
9	,	O	antes	O
9	between	O	más	O
9	between	O	cuatro	O
9	between	O	a	O
9	between	O	antes	O
10	carnivorous	O	especialmente	O
10	carnivorous	O	años	O
10	carnivorous	O	70	O
10	carnivorous	O	de	O
10	stars	O	especialmente	O
10	stars	O	años	O
10	stars	O	70	O
10	stars	O	de	O
10	and	O	especialmente	O
10	and	O	años	O
10	and	O	70	O
10	and	O	de	O
10	written	O	especialmente	O
10	written	O	años	O
10	written	O	70	O
10	written	O	de	O
10	12	O	especialmente	O
10	12	O	años	O
10	12	O	70	O
10	12	O	de	O
11	plants	O	en	O
11	plants	O	sin	O
11	plants	O	km	O
11	plants	O	abandonar	O
11	Bence	I-PER	en	O
11	Bence	I-PER	sin	O
11	Bence	I-PER	km	O
11	Bence	I-PER	abandonar	O
11	by	O	en	O
11	by	O	sin	O
11	by	O	km	O
11	by	O	abandonar	O
11	and	O	en	O
11	and	O	sin	O
11	and	O	km	O
11	and	O	abandonar	O
12	:	O	la	O
12	:	O	nuevos	O
12	:	O	(	O
12	:	O	sus	O
12	.	O	la	O
12	.	O	nuevos	O
12	.	O	(	O
12	.	O	sus	O
12	Alba	I-PER	la	O
12	Alba	I-PER	nuevos	O
12	Alba	I-PER	(	O
12	Alba	I-PER	sus	O
12	Tompkins	I-PER	la	O
12	Tompkins	I-PER	nuevos	O
12	Tompkins	I-PER	(	O
12	Tompkins	I-PER	sus	O
12	18	O	la	O
12	18	O	nuevos	O
12	18	O	(	O
12	18	O	sus	O
13	round-leaved	O	que	O
13	round-leaved	O	episodios	O
13	round-leaved	O	43	O
13	round-leaved	O	estudios	O
13	in	O	que	O
13	in	O	episodios	O
13	in	O	43	O
13	in	O	estudios	O
13	.	O	que	O
13	.	O	episodios	O
13	.	O	43	O
13	.	O	estudios	O
13	Rucka	I-PER	que	O
13	Rucka	I-PER	episodios	O
13	Rucka	I-PER	43	O
13	Rucka	I-PER	estudios	O
13	%	O	que	O
13	%	O	episodios	O
13	%	O	43	O
13	%	O	estudios	O
14	sundew	O	había	O
14	sundew	O	,	O
14	sundew	O	millas	O
14	sundew	O	para	O
14	her	O	había	O
14	her	O	,	O
14	her	O	millas	O
14	her	O	para	O
14	.	O	había	O
14	.	O	,	O
14	.	O	millas	O
14	.	O	para	O
14	of	O	había	O
14	of	O	,	O
14	of	O	millas	O
14	of	O	para	O
15	(	O	sido	O
15	(	O	y	O
15	(	O	)	O
15	(	O	trabajar	O
15	breakthrough	O	sido	O
15	breakthrough	O	y	O
15	breakthrough	O	)	O
15	breakthrough	O	trabajar	O
15	shy	O	sido	O
15	shy	O	y	O
15	shy	O	)	O
15	shy	O	trabajar	O
16	"	O
17	Drosera	B-PLANT	bn:01629717n	Q21187	2318127	Drosera_rotundifolia	Drosera rotundifolia, the round-leaved sundew or common sundew, is a carnivorous species of flowering plant that grows in bogs, marshes and fens.	https://upload.wikimedia.org/wikipedia/commons/c/ce/Drosera-rotundifolia.jpg
18	rotundifolia	I-PLANT
19	"	O	su	O
16	"	O
17	Drosera	B-PLANT	bn:01629717n	Q21187	2318127	Drosera_rotundifolia	Drosera rotundifolia, the round-leaved sundew or common sundew, is a carnivorous species of flowering plant that grows in bogs, marshes and fens.	https://upload.wikimedia.org/wikipedia/commons/c/ce/Drosera-rotundifolia.jpg
18	rotundifolia	I-PLANT
19	"	O	las	O
16	"	O
17	Drosera	B-PLANT	bn:01629717n	Q21187	2318127	Drosera_rotundifolia	Drosera rotundifolia, the round-leaved sundew or common sundew, is a carnivorous species of flowering plant that grows in bogs, marshes and fens.	https://upload.wikimedia.org/wikipedia/commons/c/ce/Drosera-rotundifolia.jpg
18	rotundifolia	I-PLANT
19	"	O	al	O
16	"	O
17	Drosera	B-PLANT	bn:01629717n	Q21187	2318127	Drosera_rotundifolia	Drosera rotundifolia, the round-leaved sundew or common sundew, is a carnivorous species of flowering plant that grows in bogs, marshes and fens.	https://upload.wikimedia.org/wikipedia/commons/c/ce/Drosera-rotundifolia.jpg
18	rotundifolia	I-PLANT
19	"	O	como	O
16	role	O	su	O
16	role	O	las	O
16	role	O	al	O
16	role	O	como	O
16	individuals	O	su	O
16	individuals	O	las	O
16	individuals	O	al	O
16	individuals	O	como	O
20	)	O	su	O
20	)	O	11	O
20	)	O	donde	O
21	,	O	mayor	O
21	,	O	se	O
21	,	O	fueron	O
22	and	O	zona	O
22	and	O	estrenaron	O
22	and	O	asesinados	O
23	pitcher	O	de	O
23	pitcher	O	en	O
23	pitcher	O	;	O
24	plant	O	influencia	O
24	plant	O	el	O
25	(	O	y	O
25	(	O	y	O
25	(	O	gueto	O
26	"	O
27	Sarracenia	B-PLANT	bn:00021150n	Q1927560	2961659	Sarracenia_purpurea	Perennial bog herb having dark red flowers and decumbent broadly winged pitchers forming a rosette; of northeastern North America and naturalized in Europe especially Ireland	https://upload.wikimedia.org/wikipedia/commons/a/a4/Purplepitcherplant.jpg
28	purpurea	I-PLANT
29	"	O	actividad	O
26	"	O
27	Sarracenia	B-PLANT	bn:00021150n	Q1927560	2961659	Sarracenia_purpurea	Perennial bog herb having dark red flowers and decumbent broadly winged pitchers forming a rosette; of northeastern North America and naturalized in Europe especially Ireland	https://upload.wikimedia.org/wikipedia/commons/a/a4/Purplepitcherplant.jpg
28	purpurea	I-PLANT
29	"	O	fue	O
30	)	O	.	O
17	.	O	ciudad	O
17	.	O	temporadas	O
17	.	O	norte	O
17	.	O	programador	O
17	meet	O	ciudad	O
17	meet	O	temporadas	O
17	meet	O	norte	O
17	meet	O	programador	O
18	criteria	O	natal	O
18	criteria	O	10	O
18	criteria	O	de	O
